г.Донецк Стройдеревня  Куйбышева 70,,
тел. +7949-321-65-80 Ольга ,,
    Галоши/тапки,,
        Спрей от комаров АУТ 100мл 4 часа (36), 82.50 ,шт
        Спрей от комаров АУТ ДЕТСКИЙ 100мл 4 часа (36), 82.50 ,шт
        Спрей от комаров Москитол 100мл (48), 52.50 ,шт
        Спрей от комаров Раптор 100мл (48), 49.00 ,шт
"        Спрей от комаров, клещей Комарекс 100мл (48)", 45.00 ,шт
"        Спрей от комаров, клещей ОКС Экстрим100мл (48)", 45.00 ,шт
"        Цифокс для обработки территории от клещей, комаров, мух", 152.00 ,шт
    Новый год,,шт
        0000 РМ11/13 ЛЮКС Набор шаров 60мм10шаров+6фигурки+6снежинок+бусы, 742.50 ,шт
        00002086 Шары Люкс 100мм юла 3шт, 272.30 ,шт
        00002150 Шары Люкс 150мм МЕХ 6шт, 495.00 ,шт
        Бантики Красные планшет 12шт. однот , 27.80 ,шт
        Бенгальские огни 16см  (уп 50), 34.50 ,шт
        Гирл 15л Фигурка Шар Блеск Большой, 612.50 ,шт
        Гирл 20л Фигурка Бутылка большая под старину, 350.00 ,шт
        Гирл 20л Фигурка Звезды большая под старину, 350.00 ,шт
        Гирл 20ламп Лампа А428, 123.80 ,шт
        Гирл 20ламп Шарик матов желт, 148.50 ,шт
        Гирл ДИОД БУХТА 100м цветн Улица," 1,920.00 ",шт
        Гирл Кристалл 100л ч/пр  цветн, 165.00 ,шт
        Гирл Лента 5 метров цветн от телеф, 640.00 ,шт
        Гирл РОСА  на БАТАРЕЙКАХ А4 П  3м Улица, 74.30 ,шт
        Гирл РОСА  на БАТАРЕЙКАХ ПРОБКА  цветн, 46.30 ,шт
        Гирл РОСА  на БАТАРЕЙКАХ ПРОБКА белая, 46.30 ,шт
        Гирл РОСА  на КРУГЛ.БАТАРЕЙКЕ 3м  мульти Улица, 57.80 ,шт
        Гирл РОСА  на КРУГЛ.БАТАРЕЙКЕ 3м белая Улица, 57.80 ,шт
        Гирл РОСА  на КРУГЛ.БАТАРЕЙКЕ 3м синяя Улица, 57.80 ,шт
        Гирл РОСА 10м желт с переключ Улица, 214.50 ,шт
        Гирл РОСА ШТОРА 1.5*1.5 синяя Улица, 675.00 ,шт
        Гирл РОСА ШТОРА ШАР мал жемчуг жел / роз, 612.50 ,шт
