"SKU","Товар","Единица измерения","Цена"
"sku_015b6345","Крышка  ЮЛИГ.735212.284-40 Бежевый шестиместная рамка с бежевой вставкой ""УЮТ"", BYLECTRICA","RUB","65"
"sku_0eefb2b7","Роз. телевизионная/ ТР-046 БЕЖ УЮТ, BYLECTRICA","RUB","13"
"sku_38d87190","Выкл. 1-кл. СУ с подсветкой / С110-866 УЮТ , BYLECTRICA","RUB","100"
"sku_222a5f78","Выкл. 2-кл. СУ подсветой / С510-867 УЮТ , BYLECTRICA","RUB","123"
"sku_e50c25d3","Выключатель полупроводниковый (светорегулятор) 40-400 Вт / C6-400-052 УЮТ, BYLECTRICA","RUB","700"
"sku_a638c284","Крышка  ЮЛИГ.735212.280 двухместная рамка ""УЮТ""  , BYLECTRICA","RUB","20"
"sku_66751b14","Крышка  ЮЛИГ.735212.281 трехместная рамка ""УЮТ""  , BYLECTRICA","RUB","25"
"sku_2bb1c18d","Крышка  ЮЛИГ.735212.282 четырехместная рамка ""УЮТ""  , BYLECTRICA","RUB","29"
"sku_749e22fe","Крышка  ЮЛИГ.735212.283 пятиместная рамка ""УЮТ""  , BYLECTRICA","RUB","45"
"sku_a63e9b18","Крышка  ЮЛИГ.735212.284 шестиместная рамка ""УЮТ""  , BYLECTRICA","RUB","50"
"sku_9adfd045","Роз. телевизионная/ ТР-046 УЮТ, BYLECTRICA","RUB","103"
"sku_b314a8c2","Выключатель проходной на шнур для бра  белый (1/50),","RUB","28"
"sku_e8e47be6","Выключатель проходной на шнур для бра черный (1/50),","RUB","28"
"sku_9bcf93ea","Шнур на цепочке с микровыключателем(золото) (1/10), Китай","RUB","50"
"sku_dac60622","Шнур на цепочке с микровыключателем(хром) (1/10), Китай","RUB","50"
"sku_ab90a760","Nilson Вилка с заземлением 16А (1/50),","RUB","95.7"
"sku_a4b901b4","Nilson Вилка с заземлением и кольцом ,","RUB","99"
"sku_2b19585f","Nilson Вилка с заземлением и кольцом черная (1/50),","RUB","99"
"sku_74e8038f","Вилка Navigator 61 359 NCA-PL02-16A-E-WH прямая с/з белая (1/30), Navigator Group","RUB","54.82"
"sku_f72ba1f5","Вилка Navigator 61 360 NCA-PL02-16A-E-BL прямая с/з черная (1/30), Navigator Group","RUB","54.82"
"sku_aaac568a","Вилка Navigator 61 361 NCA-PL03-16A-E-WH угловая с/з белая (1/35), Navigator Group","RUB","52.61"
"sku_cd7441b0","Вилка Navigator 61 362 NCA-PL04-16A-E-WH угловая с/з белая(1/30), Navigator Group","RUB","50.21"
"sku_7e7ef6ef","Вилка Navigator 61 363 NCA-PL04-16A-E-BL угловая с/з черная, Navigator Group","RUB","52.33"
"sku_6d073841","Вилка Navigator 61 364 NCA-PL05-16A-ESC-WH угловая с/з c/выключ. белая(1/20), Navigator Group","RUB","99.46"
"sku_52587730","Вилка с бок. подводом провода с заз.конт./ В16-242 (120)(1/30), BYLECTRICA","RUB","52"
"sku_4f74d53a","Вилка с ушком / В16-336 (100) (1/25), BYLECTRICA","RUB","54"
"sku_f45c7b09","Вилка угловая белая с/з Электро,","RUB","44"
"sku_ccafa1fc","Вилка штепсельная В 16-001 (350)  , БелТИЗ","RUB","28.3"
"sku_fe267b33","Вилка штепсельная В 16-002 (350)  , БелТИЗ","RUB","28.3"
"sku_fb62beff","Вилка штепсельная В 16-010 (350)  , БелТИЗ","RUB","28.3"
"sku_8d98d212","Вилка-невидимка с заземлением черная 16А 250В (1/20), Универсал","RUB","110"
"sku_0bdabf82","Вилка-невидимка с/з белая 16А (1/80),","RUB","76.26"
"sku_de013ce5","Евровилка прямая белая 178,","RUB","28"
"sku_45805946","Евровилка угловая 16А Китай,","RUB","25"
"sku_dd1d8d62","Розетка  Navigator 61 366 NCA-SK01-16A-E-WH переносная с/з белая (1/20), Navigator Group","RUB","63.38"
"sku_93ecc28e","Розетка  Navigator 61 715 NCA-SK01-16A-E-BL переносная с/з черная (1/20), Navigator Group","RUB","59.3"
"sku_586f6ef5","Розетка Navigator 61 716 NCA-SK01-10A-X-WH переносная б/з белая (1/20), Navigator Group","RUB","52.79"
"sku_d5693faf","Розетка Navigator 61 717 NCA-SK01-10A-X-BL переносная б/з черная (1/20), Navigator Group","RUB","52.79"
"sku_80fd8c85","Вилка В 16-001 каучук, СИНИЙ (100), СВЕТ","RUB","65"
"sku_1294ac22","Вилка В 16-001, каучук, КРАСНЫЙ (100), СВЕТ","RUB","65"
"sku_d42122a1","Вилка В 16-002 каучук с кольцом (100), СВЕТ","RUB","67"
